metric,value
case_id,ell3_core3_L150
path,realistic
ell,3
target_core_diameter_um,3.0
target_bessel_length_um,150.0
gamma_slm_deg,0.2428511254567136
magnification_to_sample,0.008071063517253126
ring_radius_um,2.156830601203611
core_radius_um,1.491932433534409
feature_diameter_um,4.313661202407222
ring_width_um,1.361438345298669
propagation_method,bl_asm
output_dx_at_peak_um,0.25122070312500006
output_dx_min_um,0.25122070312500006
output_dx_max_um,0.25122070312500006
sas_retained_power_fraction_min,1.0
sas_z_limit_min_um,
sas_z_over_limit_max,
sas_output_magnification_at_peak,
bessel_zone_um,78.34160190682017
zone_start_um,349.4177847221993
zone_end_um,427.7593866290195
bessel_region_um,25.500000000000025
bessel_region_start_um,382.49999999999994
bessel_region_end_um,407.99999999999994
feature_power_zone_um,38.249999999999986
radius_stability_zone_um,63.75000000000001
ring_or_core_radius_drift_fraction_max_in_region,0.1176470588235295
peak_fluence_J_cm2,7.117555083687593
core_or_ring_peak_fluence_J_cm2,7.027785611497977
side_lobe_peak_fluence_J_cm2,6.093916342207015
side_to_core_peak_ratio,0.867117564348707
pulse_energy_at_sample_uJ,2.6244
incubated_threshold_J_cm2,0.8029538686943561
line_proxy_threshold_length_um,0.0
line_proxy_threshold_width_um,0.0
first_order_selected_fraction,0.9335116117243349
qa_status,marginal
phase_sampling_label,pass
focal_sampling_label,pass
axial_sampling_label,pass
focal_kt_nyquist_over_kr,7.799569355087367
focal_samples_per_radial_period,15.599138710174733
axial_dz_um,6.750000000000002
hardware_reachable,True
