ell,target_spot_um,target_zone_um,input_energy_uJ,kr_sample_m_inv,kr_slm_m_inv,cone_lpmm,carrier_lpmm,filter_lpmm,gamma_slm_deg,w0_sample_um,holo_first_order_feasible,max_holo_zone_um,gap_holo_to_target_um,phys_sampling_valid,phys_sampling_violations,phys_samples_per_feature,hardware_reachable,holo_feasible_and_hardware,phys_feasible_and_hardware,meets_target_zone_holo,meets_target_zone_phys
0,4.0,150.0,10.0,1202500.0,7279.090409622662,1.158503219904256,6.250000000000001,2.5,0.1366043172808986,12.10659527587969,True,477.77165439880594,-327.77165439880594,True,,15.922254616132163,True,True,True,True,True
0,4.0,200.0,10.0,1202500.0,9705.453879496883,1.5446709598723412,6.250000000000001,2.5,0.18213882128508033,16.142127034506252,True,477.77165439880594,-277.77165439880594,True,,15.922254616132163,True,True,True,True,True
0,4.0,300.0,10.0,1202500.0,14558.180819245325,2.317006439808512,6.250000000000001,2.5,0.27320708155602874,24.21319055175938,True,477.77165439880594,-177.77165439880594,True,,15.922254616132163,True,True,True,True,True
0,5.0,50.0,10.0,962000.0,1552.8726207195014,0.24714735357957462,6.250000000000001,2.5,0.029142307058920344,3.22842540690125,True,746.5182099981344,-696.5182099981344,True,,19.902818270165202,True,True,True,True,True
0,5.0,100.0,10.0,962000.0,3105.7452414390027,0.49429470715914925,6.250000000000001,2.5,0.058284599039404736,6.4568508138025,True,746.5182099981344,-646.5182099981344,True,,19.902818270165202,True,True,True,True,True
0,5.0,150.0,10.0,962000.0,4658.617862158504,0.7414420607387239,6.250000000000001,2.5,0.08742686086306403,9.68527622070375,True,746.5182099981344,-596.5182099981344,True,,19.902818270165202,True,True,True,True,True
0,5.0,200.0,10.0,962000.0,6211.490482878005,0.9885894143182985,6.250000000000001,2.5,0.1165690774516027,12.913701627605,True,746.5182099981344,-546.5182099981344,True,,19.902818270165202,True,True,True,True,True
0,5.0,300.0,10.0,962000.0,9317.235724317008,1.4828841214774477,6.250000000000001,2.5,0.17485331461088505,19.3705524414075,True,746.5182099981344,-446.51820999813435,True,,19.902818270165202,True,True,True,True,True
3,2.0,50.0,10.0,2405000.0,9705.453879496883,1.5446709598723412,6.250000000000001,2.5,0.18213882128508033,8.071063517253126,True,119.44291359970148,-69.44291359970148,True,,7.961127308066081,True,True,True,True,True
3,2.0,100.0,10.0,2405000.0,19410.907758993766,3.0893419197446823,6.250000000000001,2.5,0.3642739614201266,16.142127034506252,True,119.44291359970148,-19.442913599701484,True,,7.961127308066081,True,True,True,True,True
3,2.0,150.0,10.0,2405000.0,29116.36163849065,4.634012879617024,6.250000000000001,2.5,0.5464017397014767,24.21319055175938,False,119.44291359970148,30.557086400298516,True,,7.961127308066081,True,False,True,False,True
3,2.0,200.0,10.0,2405000.0,38821.81551798753,6.178683839489365,6.250000000000001,2.5,0.7285184763180764,32.284254069012505,False,119.44291359970148,80.55708640029852,True,,7.961127308066081,True,False,True,False,True
3,2.0,300.0,10.0,2405000.0,58232.7232769813,9.268025759234048,6.250000000000001,2.5,1.0927041124512413,48.42638110351876,False,119.44291359970148,180.55708640029852,True,,7.961127308066081,True,False,True,False,True
3,3.0,50.0,10.0,1603333.3333333333,4313.53505755417,0.6865204266099294,6.250000000000001,2.5,0.0809508060583611,5.380709011502084,True,268.74655559932836,-218.74655559932836,True,,11.941690962099123,True,True,True,True,True
3,3.0,100.0,10.0,1603333.3333333333,8627.07011510834,1.3730408532198588,6.250000000000001,2.5,0.16190128893519443,10.761418023004168,True,268.74655559932836,-168.74655559932836,True,,11.941690962099123,True,True,True,True,True
3,3.0,150.0,10.0,1603333.3333333333,12940.60517266251,2.059561279829788,6.250000000000001,2.5,0.2428511254567136,16.142127034506252,True,268.74655559932836,-118.74655559932836,True,,11.941690962099123,True,True,True,True,True
3,3.0,200.0,10.0,1603333.3333333333,17254.14023021668,2.7460817064397176,6.250000000000001,2.5,0.32379999246461466,21.522836046008337,True,268.74655559932836,-68.74655559932836,True,,11.941690962099123,True,True,True,True,True
